;Date;Tx_Defaut;Tx_Chomage_M;Ita_coin;B_T_Climate;LCI;Tx_IPC;Tx_interet_CT;Tx_interet_LT;Confiance_conso;Confiance_ent;Ind_Inc_Pol_Eco;Qt_Euribor1;Qt_Euribor2;Qt_FTSE;Qt_Enel;Qt_Eni;Qt_Exor;Qt_Generali;Tx_I_Deposits_E;Qt_Cours_actions;Tx_I_Loans;Tx_Bond_Yields_10;USD_euro_change;Tx_Pret_Menage;Tx_Pret_SNF;BOP_Compte_Courant;BOP_Biens;BOP_Services;BOP_Capital;Qt_GT_Pret_bancaire;Qt_GT_credit_conso;Qt_GT_credit_immo;Qt_GT_taux_interet;Tx_bons_tresor;Qt_VIX;Qt_Telecom_ita;Qt_IXIC_NASDAQ;Tx_Deposit_Resident;Tx_Interet_Deposit;Tx_Interet_Deposit_Over;Tx_Interet_Loans_House;Tx_Interet_Loans_Othe;Tx_Bon_Tresor_3;Tx_Bon_Tresor_5;Tx_Bon_Tresor_10;Tx_Bon_Tresor_30;Qt_M1;Qt_M2;Qt_M3;Tx_Fund_Raised;Tx_Refinancing;Tx_Debt_Securities;Tx_Total_Deposit;Tx_Loans_Other;Tx_Loans_Household;Tx_Loans_NonFinancial;Tx_Debt_CB;Qt_Debt_Monetary;Qt_Debt_Financial;Qt_Debt_Resident;Qt_Debt_NonResident;Qt_Debt_Gross;Qt_Stock_Gov
2;01/02/2010;0.0524;8.7;-0.52;0.300000000000011;0.1678;1.167883;0.6617;4.047;-0.437599999999989;0.256950000000003;1.95148999999999;0.000251692634285483;-0.000569362714072337;-0.0385466799911516;0.0202923893946163;-0.0214933647065725;-0.065710756053686;-0.0359602554198903;0.6293;-0.0694055071167217;2.6713;4.047;-0.1;3.94;-2.39;1222.673;1562.619;-33.308;-2.60799999999999;-2.484906649788;2.484906649788;0.117783035656384;-0.664976303593249;0.983;-0.23314469580399;-0.0366061077976906;0.0414642133529144;5.09;0.6293;0.2766;2.6713;1.93;2.05012;2.91579;4.04712;4.86247;-0.0195615950745562;-0.0131634577262911;-0.0107539650822108;1.18;-15.25;2.43;-10.13;-0.59;3.94;-2.39;3.5;0.0122700925918142;0;-0.0168071183163812;-0.00243013485329158;0.00363353111731257;0.00627143165726451
3;01/03/2010;0.0516;8.6;0.02;-0.600000000000009;0.104900000000001;1.38585;0.645;3.945;-0.319400000000002;0.17174;-7.9173;-0.000352387428448786;-0.00110920652695512;0.0810918264807778;0.0351562569845778;0.0442680716958175;0.139101196485639;0.0645010054278634;0.6256;0.0459362807030557;2.5899;3.945;0.8;4.09;-1.91;-52.6289999999999;1280.837;-241.408;-112.377;2.39789527279837;3.09104245335832;0.980829253011726;-0.587786664902119;0.9;-0.103083906820234;0.0189402528158092;0.0689195768691686;4.5;0.6256;0.2761;2.5899;1.9436;1.7959;2.75054;3.94527;4.86864;0.0013648482444566;-0.00028659454233626;0.00645131960318857;1.26;-26.42;1.93;-8.63;0.12;4.09;-1.91;3.5;0.0161293819298836;0.0226424767497599;-0.0113637586503148;-0.0122400548945021;0.00186326310194396;0.00227699332234543
4;01/04/2010;0.05;8.7;-0.01;2.10000000000001;0.0842999999999989;1.528384;0.6447;3.9956;-0.265240000000006;0.170159999999996;12.27545;-0.00110831245601961;-0.000353187521015208;-0.0579075496437493;-0.0427177296851542;-0.0269178912486003;0.0748852749522841;-0.108052812935707;0.612;0.0174833832964065;2.5954;3.9956;0;3.97;-1.87;3195.101;628.466;935.716;86.647;1.21302263984585;3.29583686600433;-3.17805383034795;0.336472236621213;0.933;0.225981997791914;-0.0122699125919908;0.0260265892098932;3.45;0.612;0.2648;2.5954;2.2099;1.81433;2.73684;3.99558;4.834;0.016972570893131;0.0107874429804102;0.0102961476155681;1.41;-14.28;1.28;-8.26;0.39;3.97;-1.87;3.5;0.0198026272961798;-0.0536527134923199;0.0056980211146378;0.00246002584086247;0.00784592327813094;0.00723610215719539
5;01/05/2010;0.0498;8.7;0.15;-0.300000000000011;0.0882000000000005;1.379811;0.6865;3.99;-0.363759999999999;0.193600000000004;4.11169;0.000705431854306049;5.04629980175864e-05;-0.0982879171319322;-0.0559313513846853;-0.103648584033458;-0.0204088716312074;-0.0654166495261821;0.5858;-0.122586508313707;2.5367;3.99;0.0999999999999999;4.26;-0.71;-3020.3;-1160.762;73.581;2.142;-0.432864082296279;2.70805020110221;2.19722457733622;1.02450431651439;1.442;0.374608457163683;-0.101358873873811;-0.086590711246834;3.49;0.5858;0.2671;2.5367;1.9767;2.02498;2.79188;3.98492;4.91868;0.00429939601664842;0.00294796137453801;0.00898432322830445;2.73;6.5;0.53;-7.31;1.34;4.26;-0.71;3.6;0.0194180858571018;0.0461620417631625;-0.0114286958236232;-0.0223611801581578;0.00781958092183821;0.0109685610810288
6;01/06/2010;0.0494;8.5;-0.1;-0.899999999999991;0.126300000000001;1.306241;0.7276;4.1;-0.244529999999997;0.166499999999999;45.84089;2.81268778312741e-05;-0.00141392741830959;-0.0119531311705714;-0.0685152025024689;-0.000658111244549175;0.0240098838048017;-0.0347328069188921;0.6004;-0.00894341348932759;2.5103;4.1;-0.2;4.26;-0.76;1226.904;-1223.285;422.305;204.518;0.0408219945202548;2.77258872223978;-0.405465108108165;-0.773189888233482;1.377;0.0741970879654086;0.0109438957444911;-0.0677265493086701;3.22;0.6004;0.274;2.5103;2.2783;2.24837;2.97726;4.1022;5.09937;-0.00230825335509799;-0.00275865101260031;-0.0631020533365305;1.23;3.68;-0.85;-11.86;1.21;4.26;-0.76;3.5;0.00383877630716567;0.0441248049089378;0;-0.0177444452990718;-0.00277343335207192;-0.00347533337506789
7;01/07/2010;0.0494;8.4;-0.13;0.0999999999999943;0.180199999999999;1.669086;0.8488;4.03;-0.142129999999995;0.157699999999991;-16.32262;-0.00010093873027639;-0.000871114024430434;0.0848349063461029;0.0765099153041777;0.0323862501372596;0.0965511583770935;0.0689466703734967;0.6084;0.0145129024512194;2.539;4.03;0.2;4.44;-0.84;4705.34;4787.884;15.029;76.302;-0.653926467406664;2.94443897916644;-1.79175946922805;0.245122458032985;1.399;-0.385117680520358;0.0715532997944941;0.0666892163883217;2.98;0.6084;0.2862;2.539;2.5093;2.18036;2.85454;4.02583;5.00964;-0.00467766686916171;-0.00400996531699072;-0.00577401847384884;2.56;26.62;-1;-9.03;1.23;4.44;-0.84;3.5;-0.00769234562315591;-0.0144930073025669;0;0.0127066512691147;0.00814129040857026;0.011927432237222
8;01/08/2010;0.0501;8.3;-0.09;-1.2;0.244399999999999;1.591896;0.8955;3.8;-0.102050000000006;0.0840000000000032;-32.90185;0.000555036974664525;-0.000366576067819338;-0.0631767051213608;-0.00199269411671055;-0.00127551037701146;-0.0529436867302535;-0.0800966116705308;0.6259;0.00811601907688964;2.664;3.8;-0.0999999999999999;4.74;0;-5656.021;-4318.049;-1259.95;-18.936;-2.56494935746154;2.39789527279837;2.30258509299405;-0.93826963859293;1.374;0.103017308661546;0.0876076176007106;-0.064420812505813;1.94;0.6259;0.3025;2.664;2.4502;2.00781;2.64205;3.80208;4.74594;-0.0222337138626401;-0.0118093531106283;-0.012063935491609;2.58;21.55;-0.95;-4.39;1.92;4.74;0;3.6;-0.0116506172199751;0.0287789645500434;-0.0115608224010759;0;0.0011316508476078;0.000734233291792563
9;01/09/2010;0.0502;8.4;-0.16;-0.699999999999989;0.291899999999998;1.595359;0.946993005278602;3.86;-0.138279999999995;0.0885999999999996;14.56193;-0.000682008476992702;-0.00102019784058877;0.0383065435697869;0.0391184165954714;0.0101588175249914;0.156997866474025;0.0344386650545432;0.6537;0.0113107031705733;2.644;3.86;0.3;4.72;1.09;-498.34;-692.094;963.417;-121.435;3.09104245335832;3.09104245335832;0.8754687373539;0.105360515657826;1.428;-0.0945426394764817;-0.0401575990625379;0.113711464299792;1.24;0.6537;0.3111;2.644;2.5135;2.13927;2.74728;3.86227;4.78606;-0.00198219447050718;-0.000685177013291849;0.00104715382893161;2.13;13.3;-0.07;-2.38;2.71;4.72;1.09;3.6;0;0.00706716722309242;0.00579711768432611;-0.0076045993852194;0.00138482213139923;0.00184793729277644
10;01/10/2010;0.0495;8.6;0.02;0.599999999999994;0.3065;1.73913;0.9977;3.8;-0.135159999999999;0.1995;6.93796;3.66135042619628e-05;-0.000254512351240626;0.0450745728324424;0.0480591699848345;0.0224869555631435;0.0829343960130795;0.0642422687283539;0.6563;0.0260788800067937;2.7016;3.8;0;4.77;1.27;2174.333;1086.597;-744.409;56.825;0;2.63905732961526;-3.17805383034795;0.470003629245735;1.441;-0.1114738614874;0.0724340449903371;0.0569427563188754;0.96;0.6563;0.3224;2.7016;2.5448;2.07731;2.69462;3.80021;4.7201;0.0161164676354844;0.00959092534822048;0.00469202731961893;2.89;30.87;1.07;-2.79;2.99;4.77;1.27;3.6;-0.0117879557520424;0.0346055291774756;-0.011628037995119;0;0.0114657111097944;0.0151579953034116
11;01/11/2010;0.0488;8.3;0.01;0.5;0.287599999999998;1.73913;1.042;4.18;-0.00482000000000937;0.264800000000008;10.46561;0.00141584416750478;-0.000373683543414492;-0.115765740984354;-0.125122518144429;-0.0435538055308635;0.0949655862861674;-0.154150679827258;0.6853;-0.0105581485608539;2.8755;4.18;0;5;2.08;-1538.151;-809.499;-478.383;-11.32;-3.09104245335832;2.56494935746154;2.07944154167984;-0.287682072451781;1.778;0.104699915465236;-0.14947331177374;-0.00366783967267548;-1.28;0.6853;0.3483;2.8755;2.7256;2.65239;3.22196;4.18408;5.01977;-0.02718148470478;-0.0167341152204141;-0.0175868975029179;2.85;15.62;0.35;-0.25;3.46;5;2.08;3.6;0.0272921422880077;-0.0275879565188291;0.011628037995119;-0.0153849188394792;0.000677329430013529;-0.000321642541639022
